Survived,Pclass,Age,Sex,Cabin
0,3,-0.5924805998028934,1,115
1,1,0.6387890120425206,0,81
1,3,-0.2846631968415398,0,115
1,1,0.4079259598215055,0,55
0,3,0.4079259598215055,1,115
0,3,-1.9139198269632332e-16,1,115
0,1,1.8700586238879344,1,130
0,3,-2.131567614609661,1,115
1,3,-0.20770884610120144,0,115
1,2,-1.2081154057256003,0,115
1,3,-1.977658913128984,0,146
1,1,2.1778760268492876,0,49
0,3,-0.7463893012835701,1,115
0,3,0.7157433627828589,1,115
0,3,-1.2081154057256003,0,115
1,2,1.9470129746282727,0,115
0,3,-2.131567614609661,1,115
1,2,-1.9139198269632332e-16,1,115
0,3,0.10010855686015202,0,115
1,3,-1.9139198269632332e-16,0,115
0,2,0.4079259598215055,1,115
1,2,0.33097160908116713,1,111
1,3,-1.1311610549852618,0,115
1,1,-0.1307544953608631,1,13
0,3,-1.6698415101676305,0,115
1,3,0.6387890120425206,0,115
0,3,-1.9139198269632332e-16,1,115
0,1,-0.8233436520239084,1,63
1,3,-1.9139198269632332e-16,0,115
0,3,-1.9139198269632332e-16,1,115
0,1,0.7926977135231973,1,115
1,1,-1.9139198269632332e-16,0,41
1,3,-1.9139198269632332e-16,0,115
0,2,2.7935108327719944,1,115
0,1,-0.1307544953608631,1,115
0,1,0.946606415003874,1,115
1,3,-1.9139198269632332e-16,1,115
0,3,-0.6694349505432317,1,115
0,3,-0.9002980027642468,0,115
1,3,-1.2081154057256003,0,115
0,3,0.7926977135231973,0,115
0,2,-0.20770884610120144,0,115
0,3,-1.9139198269632332e-16,1,115
1,2,-2.0546132638693226,0,115
1,3,-0.8233436520239084,0,115
0,3,-1.9139198269632332e-16,1,115
0,3,-1.9139198269632332e-16,1,115
1,3,-1.9139198269632332e-16,0,115
0,3,-1.9139198269632332e-16,1,115
0,3,-0.9002980027642468,0,115
0,3,-1.7467958609079688,1,115
0,3,-0.6694349505432317,1,115
1,1,1.4852868701862425,0,101
1,2,-0.05380014462052472,0,115
0,1,2.716556482031656,1,23
1,1,-1.9139198269632332e-16,1,71
1,2,-0.6694349505432317,0,115
0,3,-0.09227731999069388,1,115
1,2,-1.9007045623886456,0,115
0,3,-1.4389784579466154,1,115
0,3,-0.5924805998028934,1,115
1,1,0.6387890120425206,0,21
0,1,1.177469467224889,1,80
0,3,-1.977658913128984,1,115
0,1,-1.9139198269632332e-16,1,115
1,3,-1.9139198269632332e-16,1,115
1,2,-0.05380014462052472,0,143
0,3,-0.8233436520239084,1,115
1,3,-0.9772523535045852,0,115
0,3,-0.2846631968415398,1,115
0,2,0.17706290760049037,1,115
0,3,-1.0542067042449235,0,115
0,2,-0.6694349505432317,1,115
0,3,-0.2846631968415398,1,115
1,3,0.17706290760049037,1,115
0,3,-0.36161754758187814,1,141
0,3,-1.9139198269632332e-16,1,115
0,3,-1.9139198269632332e-16,1,115
1,2,-2.221604204975857,1,115
1,3,0.02315420611981365,0,115
0,3,-0.5924805998028934,1,115
1,3,-0.05380014462052472,1,115
1,3,-1.9139198269632332e-16,0,115
0,1,-0.1307544953608631,1,115
1,2,-0.9772523535045852,0,115
1,3,0.2540172583408288,0,115
0,3,-1.0542067042449235,1,115
0,3,-1.9139198269632332e-16,1,115
1,1,-0.515526249062555,0,63
0,3,-0.43857189832221655,1,115
0,3,-0.05380014462052472,1,115
0,3,-0.7463893012835701,1,115
0,1,1.2544238179652274,1,123
0,3,-0.2846631968415398,1,115
0,3,2.254830377589626,1,115
0,3,-1.9139198269632332e-16,1,115
0,1,3.1782825864736863,1,12
1,1,-0.515526249062555,1,91
1,2,0.33097160908116713,0,115
0,2,0.33097160908116713,1,115
0,3,-0.1307544953608631,0,115
0,3,-1.9139198269632332e-16,1,115
0,1,-0.6694349505432317,1,98
0,3,0.2540172583408288,1,115
0,3,0.5618346613021822,1,115
0,3,-0.1307544953608631,1,115
1,3,-0.6694349505432317,0,115
